Base	Mean	Median	Lower.Quartile	Upper.Quartile	X10th.Percentile	X90th.Percentile
1	38.28233325364571	39.0	39.0	39.0	37.0	39.0
2	38.020081281377	39.0	38.0	39.0	36.0	39.0
3	38.07171886206072	39.0	38.0	39.0	36.0	39.0
4	38.04087975137461	39.0	38.0	39.0	36.0	39.0
5	38.018885967009325	39.0	38.0	39.0	36.0	39.0
6	38.07339230217547	39.0	39.0	39.0	36.0	39.0
7	38.02318909873296	39.0	38.0	39.0	36.0	39.0
8	38.036576619650965	39.0	38.0	39.0	36.0	39.0
9	38.09275639493187	39.0	38.0	39.0	36.0	39.0
10-14	38.023810662204156	39.0	38.0	39.0	36.0	39.0
15-19	37.961654315084864	39.0	38.0	39.0	36.0	39.0
20-24	37.78240497250776	39.0	38.0	39.0	35.6	39.0
25-29	37.33741333970835	39.0	37.6	39.0	34.6	39.0
30-34	36.928328950513986	39.0	37.0	39.0	33.4	39.0
35-39	36.60081281377002	39.0	36.8	39.0	32.8	39.0
40-44	36.28721013626584	39.0	36.4	39.0	32.0	39.0
45-49	36.12005737508965	39.0	36.0	39.0	31.2	39.0
50-54	35.61171408080325	38.2	35.8	39.0	29.8	39.0
55-59	35.114989242170694	38.0	35.2	39.0	28.4	39.0
60-64	34.55314367678699	38.0	34.4	39.0	26.4	39.0
65-69	33.972746832416924	37.0	33.4	39.0	25.2	39.0
70-74	33.18680372938083	36.8	32.8	38.8	22.0	39.0
75-79	32.41577814965336	36.2	31.6	38.6	18.8	39.0
80-84	31.43600286875448	36.0	30.2	38.0	13.6	39.0
85-89	30.213530958642128	35.4	28.6	38.0	2.8	39.0
90-94	28.354817116901746	33.8	24.6	37.2	2.0	39.0
95-99	26.42146784604351	32.6	18.8	36.8	2.0	38.6
100	23.121922065503227	29.0	2.0	36.0	2.0	38.0
