>>Per Base GC content	warn
Base	GC
1	49.12742051159455
2	49.22230198612108
3	48.050705572829465
4	49.80861244019138
5	49.05479779851639
6	49.50992110925173
7	49.916287969385316
8	49.04306220095694
9	49.7250776954339
10	50.66724063710719
11	50.66724063710719
12	50.66724063710719
13	50.66724063710719
14	50.66724063710719
15-19	50.88961163191122
20-24	51.272483735170304
25-29	50.30745580322829
30-34	50.83610428413089
35-39	50.96855224385295
40-44	50.2835538752363
45-49	50.728496054988135
50-54	50.53518670993364
55-59	50.95510520702027
60-64	50.674168202541466
65-69	51.08084528887166
70-74	50.35426574784043
75-79	50.2236918887376
80-84	51.01773135778479
85-89	51.356485314889674
90-94	51.30506501067339
95-99	51.86934086262291
100	50.375211813120316
