>>Per base N content	pass
#Base	%GC
1	0
2	0.0956251
3	0.0478126
4	0.0717189
5	0.0956251
6	0
7	0.0478126
8	0.0717189
9	0
10	0.0239063
11	0
12	0.0956251
13	0
14	0.0717189
15	0.0239063
16	0.0478126
17	0.0239063
18	0.0478126
19	0.0239063
20	0.0478126
21	0.0717189
22	0.0478126
23	0.0478126
24	0.0478126
25	0
26	0.430313
27	0.573751
28	0.573751
29	0.788907
30	0.549845
31	0.693282
32	1.1236
33	0.525938
34	1.02797
35	0.884533
36	0.549845
37	0.956252
38	1.17141
39	1.55391
40	1.45828
41	1.41047
42	1.48219
43	1.19531
44	1.24313
45	1.43438
46	1.24313
47	1.02797
48	1.00406
49	1.41047
50	0.860626
51	1.24313
52	1.31485
53	1.5061
54	1.48219
55	1.38656
56	1.67344
57	1.43438
58	0.980158
59	1.43438
60	1.31485
61	1.09969
62	1.76907
63	1.31485
64	1.60172
65	1.5061
66	1.1236
67	0.788907
68	1.45828
69	1.8886
70	1.21922
71	1.55391
72	1.48219
73	1.62563
74	1.5061
75	1.5061
76	1.48219
77	1.79297
78	1.98422
79	1.62563
80	1.41047
81	1.29094
82	1.69735
83	1.55391
84	1.93641
85	1.8886
86	1.81688
87	1.64953
88	1.93641
89	1.8886
90	1.29094
91	1.8886
92	1.17141
93	1.45828
94	1.43438
95	1.57781
96	1.8886
97	1.84078
98	1.67344
99	1.93641
100	1.24313
