>>Per Sequence GC Content	pass
#GC	Count
0	0
1	0
2	0
3	0
4	1
5	0
6	1
7	1
8	1
9	2
10	0
11	3
12	4
13	3
14	3
15	6
16	7
17	2
18	2
19	4
20	3
21	1
22	2
23	2
24	5
25	4
26	9
27	10
28	10
29	9
30	14
31	26
32	13
33	18
34	27
35	31
36	35
37	37
38	43
39	53
40	67
41	74
42	88
43	103
44	114
45	122
46	124
47	183
48	178
49	241
50	224
51	255
52	239
53	257
54	227
55	222
56	207
57	173
58	155
59	117
60	115
61	80
62	62
63	53
64	36
65	22
66	22
67	10
68	10
69	4
70	1
71	1
72	4
73	0
74	0
75	0
76	0
77	1
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
