>>Per base sequence quality	fail
Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.2823	39	39	39	37	39
2	38.0201	39	38	39	36	39
3	38.0717	39	38	39	36	39
4	38.0409	39	38	39	36	39
5	38.0189	39	38	39	36	39
6	38.0734	39	39	39	36	39
7	38.0232	39	38	39	36	39
8	38.0366	39	38	39	36	39
9	38.0928	39	38	39	36	39
10	38.0409	39	38	39	36	39
11	38.0165	39	38	39	36	39
12	38.0263	39	38	39	36	39
13	38.0485	39	38	39	36	39
14	37.9869	39	38	39	36	39
15	38.0256	39	38	39	36	39
16	37.9362	39	38	39	36	39
17	37.9546	39	38	39	36	39
18	37.9309	39	38	39	36	39
19	37.961	39	38	39	36	39
20	37.8984	39	38	39	36	39
21	37.8186	39	38	39	36	39
22	37.8162	39	38	39	36	39
23	37.7229	39	38	39	35	39
24	37.656	39	38	39	35	39
25	37.6491	39	38	39	35	39
26	37.3012	39	38	39	34	39
27	37.3749	39	38	39	35	39
28	37.3029	39	37	39	35	39
29	37.059	39	37	39	34	39
30	37.0975	39	37	39	34	39
31	37.0227	39	37	39	34	39
32	36.9266	39	37	39	33	39
33	36.7985	39	37	39	33	39
34	36.7963	39	37	39	33	39
35	36.8107	39	37	39	33	39
36	36.5288	39	37	39	32	39
37	36.5477	39	37	39	33	39
38	36.4812	39	36	39	33	39
39	36.6357	39	37	39	33	39
40	36.437	39	37	39	32	39
41	36.2819	39	36	39	32	39
42	36.2333	39	36	39	32	39
43	36.142	39	36	39	32	39
44	36.3419	39	37	39	32	39
45	36.1587	39	36	39	31	39
46	36.2319	39	36	39	32	39
47	36.1463	39	36	39	31	39
48	36.043	39	36	39	31	39
49	36.0203	39	36	39	31	39
50	36.0406	39	36	39	31	39
51	35.6462	38	36	39	30	39
52	35.6383	38	36	39	30	39
53	35.4518	38	36	39	30	39
54	35.2816	38	35	39	30	39
55	35.5436	38	36	39	30	39
56	35.1241	38	35	39	30	39
57	34.9802	38	35	39	30	39
58	34.8508	38	35	39	30	39
59	35.0763	38	35	39	30	39
60	34.5541	38	34	39	30	39
61	34.8958	38	35	39	30	39
62	34.5821	38	35	39	30	39
63	34.4062	38	34	39	30	39
64	34.3275	38	34	39	30	39
65	34.2721	37	34	39	30	39
66	34.1659	37	34	39	30	39
67	33.8217	37	33	39	30	39
68	33.9041	37	33	39	30	39
69	33.7	37	33	39	30	39
70	33.5185	37	33	39	30	39
71	33.2933	37	33	39	30	39
72	33.4121	37	33	39	30	39
73	32.4867	36	32	38	30	39
74	33.2233	37	33	39	30	39
75	32.5164	36	32	38	30	39
76	32.7272	37	33	39	30	39
77	32.3426	36	31	39	30	39
78	32.2945	36	31	38	30	39
79	32.1982	36	31	39	30	39
80	31.9969	36	31	38	30	39
81	31.5396	36	30	38	30	39
82	31.3082	36	30	38	30	39
83	31.2104	36	30	38	30	39
84	31.125	36	30	38	30	39
85	30.793	36	30	38	30	39
86	30.4961	36	30	38	30	39
87	29.9967	35	30	38	30	39
88	30.0368	35	30	38	30	39
89	29.7452	35	30	38	30	39
90	28.6639	34	30	37	30	39
91	28.7932	34	30	38	30	39
92	28.0562	33	30	37	30	39
93	28.3191	34	30	37	30	39
94	27.9417	34	30	37	30	39
95	27.4442	33	30	37	30	39
96	26.8451	33	30	37	30	39
97	26.6462	33	30	37	30	39
98	25.8348	32	30	37	30	38
99	25.3371	32	30	36	30	38
100	23.1219	30	30	36	30	38
